Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,10400.000000,5300.000000,8300.000000,22300.000000,40300.000000,0.000096,0.000025,0.000045,0.000120,0.000189
Waihi South - Waihi transect 12- fault 5a,-39.132458,175.624512,24868.197819,12701.867221,20054.182115,52964.544018,77822.370562,0.000040,0.000013,0.000019,0.000050,0.000079
Waihi South - Waihi transect 14- fault 6b,-39.122543,175.633163,24718.820297,12628.636026,20041.595725,53046.916288,78286.279071,0.000040,0.000013,0.000019,0.000050,0.000079
Waimana North - Moana trench,-38.086498,177.133118,3212.878291,1333.488024,2509.548191,7997.828972,10834.209376,0.000311,0.000092,0.000125,0.000398,0.000750
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1780.739087,730.981579,1430.819917,5116.635168,10482.062432,0.000562,0.000095,0.000195,0.000699,0.001368
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3341.681225,1596.162142,2694.466284,7950.636106,14069.759183,0.000299,0.000071,0.000126,0.000371,0.000627
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3872.505019,926.626864,2953.391035,14784.037705,21712.743126,0.000258,0.000046,0.000068,0.000339,0.001079
Wairarapa - Turakirae Head,-41.435307,174.917267,2639.197020,1574.770752,2183.014333,4369.794830,6339.345475,0.000379,0.000158,0.000229,0.000458,0.000635
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2127.352289,1009.726232,1614.559157,3735.857241,4577.363919,0.000470,0.000218,0.000268,0.000619,0.000990
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2631.196000,1146.498000,1870.246000,3994.142000,5069.618000,0.000380,0.000197,0.000250,0.000535,0.000872
Wairau - Wadsworth Trench,-41.582134,173.509796,1111.619080,521.268265,859.523327,2180.632719,2959.257578,0.000900,0.000338,0.000459,0.001163,0.001918
Wairau - Dillon Trench,-41.570991,173.543320,1972.414695,969.467989,1535.232797,3705.712334,4837.241950,0.000507,0.000207,0.000270,0.000651,0.001031
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2450.180321,1581.189733,2050.914375,3694.950622,5338.986868,0.000408,0.000187,0.000271,0.000488,0.000632
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1343.450274,558.651535,1055.853220,3483.367331,4614.257439,0.000744,0.000217,0.000287,0.000947,0.001790
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1318.445985,795.496479,1064.636616,1776.665584,2260.436462,0.000758,0.000442,0.000563,0.000939,0.001257
