Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Waimana North - Moana trench,-38.086498,177.133118,3189.989628,1327.909692,2501.584318,7895.973466,10627.024039,0.000313,0.000094,0.000127,0.000400,0.000753
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1787.438306,724.756222,1416.735253,5123.765778,10511.316806,0.000559,0.000095,0.000195,0.000706,0.001380
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3355.472203,1588.506856,2667.285699,7912.382835,13752.668298,0.000298,0.000073,0.000126,0.000375,0.000630
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3860.685546,891.278925,2977.888983,15711.560617,24218.509313,0.000259,0.000041,0.000064,0.000336,0.001122
Wairarapa - Turakirae Head,-41.435307,174.917267,2646.266740,1578.574019,2175.884632,4371.001137,6401.857222,0.000378,0.000156,0.000229,0.000460,0.000633
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2127.880820,1010.311264,1610.406979,3723.787540,4567.400357,0.000470,0.000219,0.000269,0.000621,0.000990
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2786.908240,1215.107685,2038.110551,4776.956154,6638.831490,0.000359,0.000151,0.000209,0.000491,0.000823
Wairau - Wadsworth Trench,-41.582134,173.509796,1104.865364,526.791175,859.918673,2192.428668,3008.917635,0.000905,0.000332,0.000456,0.001163,0.001898
Wairau - Dillon Trench,-41.570991,173.543320,1971.196383,967.652923,1542.656203,3788.423729,5057.770591,0.000507,0.000198,0.000264,0.000648,0.001033
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2485.795553,1590.869318,2095.699502,3701.977359,5354.148869,0.000402,0.000187,0.000270,0.000477,0.000629
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1335.116829,561.682668,1060.672449,3535.661766,4713.277651,0.000749,0.000212,0.000283,0.000943,0.001780
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1612.497449,904.412863,1282.057976,2635.286296,3894.103338,0.000620,0.000257,0.000379,0.000780,0.001106
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,1048.898333,521.691352,834.110304,2148.873394,3658.898328,0.000953,0.000273,0.000465,0.001199,0.001917
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,905.113503,481.598636,734.443333,1834.317764,3149.110187,0.001105,0.000318,0.000545,0.001362,0.002076
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1019.355604,571.964950,831.200656,1817.968827,2846.549208,0.000981,0.000351,0.000550,0.001203,0.001748
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,694.098301,365.408026,555.317963,1402.608449,2527.459611,0.001441,0.000396,0.000713,0.001801,0.002737
Whakatane North - Te Whetu trench,-38.137844,177.014114,9005.520994,5212.704604,7329.625380,16326.538676,26381.912360,0.000111,0.000038,0.000061,0.000136,0.000192
Whakatane South - Thalassa trench,-38.612709,176.968338,2825.647058,1574.807977,2312.144698,5472.159218,9000.842098,0.000354,0.000111,0.000183,0.000432,0.000635
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1071.371057,904.730158,1004.005587,1280.558568,1550.020447,0.000933,0.000645,0.000781,0.000996,0.001105
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,237.954598,135.483190,190.017330,366.813494,495.232598,0.004202,0.002019,0.002726,0.005263,0.007381
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.212069,164.250086,228.939232,477.743639,761.380663,0.003620,0.001313,0.002093,0.004368,0.006088
Paeroa - Combined Paeroa trenches,-38.292915,176.347321,2509.376989,1586.065565,2062.613397,3909.236246,5696.290616,0.000399,0.000176,0.000256,0.000485,0.000630
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5713.067846,2860.292481,4475.070990,11795.400230,20622.856078,0.000175,0.000048,0.000085,0.000223,0.000350
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1474.649975,858.499136,1210.585330,2583.721486,3909.912816,0.000678,0.000256,0.000387,0.000826,0.001165
Wairarapa 2 - Cross Creek North combined (2- 3),-41.170269,175.242127,2033.108890,1092.138353,1609.312999,3577.449848,5272.633411,0.000492,0.000190,0.000280,0.000621,0.000916
Edgecumbe 1987_5294-5308_Combined,-37.992892,176.836865,1236.363636,99.992259,542.291832,2815.639254,6776.862190,0.000809,0.000148,0.000355,0.001844,0.010001
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,2389.138542,300.026403,1126.295871,4936.947274,14798.460986,0.000419,0.000068,0.000203,0.000888,0.003333
Fox Peak_4035_Trench 4,-43.872320,170.828035,2993.197279,377.740761,1438.748051,5928.184835,15451.275518,0.000334,0.000065,0.000169,0.000695,0.002647
Hope Conway_666-675_Combined,-42.425213,173.292386,278.637001,25.132583,128.929046,491.873445,691.708958,0.003589,0.001446,0.002033,0.007756,0.039789
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,1248.266297,108.712080,533.194835,2954.470915,10562.110593,0.000801,0.000095,0.000338,0.001875,0.009199
The Humps_5565-5696_Combined ,-42.618360,173.077671,3524.794972,303.285419,1491.091398,8356.738424,28550.592772,0.000284,0.000035,0.000120,0.000671,0.003297
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,1406.374856,129.101982,652.970642,2478.634170,3524.550097,0.000711,0.000284,0.000403,0.001531,0.007746
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,16363.636364,794.591678,3855.272572,31992.263664,137452.097113,0.000061,0.000007,0.000031,0.000259,0.001259
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,7775.344393,668.804922,3277.885772,18314.174264,59758.634900,0.000129,0.000017,0.000055,0.000305,0.001495
