Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3867.964218,946.062670,2983.351823,15743.215464,24267.662182,0.000259,0.000041,0.000064,0.000335,0.001057
Wairarapa - Turakirae Head,-41.435307,174.917267,2644.028877,1573.316888,2172.316602,4373.640552,6410.239580,0.000378,0.000156,0.000229,0.000460,0.000636
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2123.032827,1013.487848,1609.274646,3681.576552,4475.958949,0.000471,0.000223,0.000272,0.000621,0.000987
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2783.920207,1222.905727,2040.854274,4748.148759,6510.770275,0.000359,0.000154,0.000211,0.000490,0.000818
Wairau - Wadsworth Trench,-41.582134,173.509796,1106.136016,526.307705,858.606971,2221.712125,3096.540806,0.000904,0.000323,0.000450,0.001165,0.001900
Wairau - Dillon Trench,-41.570991,173.543320,1977.961531,970.213445,1544.460958,3841.451010,5215.141139,0.000506,0.000192,0.000260,0.000647,0.001031
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2495.440899,1580.090845,2096.442157,3692.437124,5335.373118,0.000401,0.000187,0.000271,0.000477,0.000633
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1341.432934,561.913083,1061.982421,3503.497427,4640.910040,0.000745,0.000215,0.000285,0.000942,0.001780
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1616.589579,906.699971,1285.307762,2641.985679,3967.112946,0.000619,0.000252,0.000379,0.000778,0.001103
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,1035.464297,521.484466,828.537352,2150.199775,3712.164456,0.000966,0.000269,0.000465,0.001207,0.001918
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,905.203722,478.517575,733.420988,1830.613938,3127.296516,0.001105,0.000320,0.000546,0.001363,0.002090
