Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Alpine George to Jacksons - Hokuri Creek sections,-44.403725,168.071960,334.156144,290.815783,315.023913,379.839227,430.598209,0.002993,0.002322,0.002633,0.003174,0.003439
Akatore - Big Creek trench,-46.147720,170.118515,8410.023984,2881.360185,5796.053234,14308.807535,34804.188815,0.000119,0.000029,0.000070,0.000173,0.000347
Alpine George to Jacksons - Lake Ellery cores,-44.052437,168.656372,266.553930,183.788764,230.502846,387.908988,544.299608,0.003752,0.001837,0.002578,0.004338,0.005441
Alpine George to Jacksons - John O'Groats Wetland,-44.514866,167.865906,303.898958,203.568072,258.999501,456.335386,666.974814,0.003291,0.001499,0.002191,0.003861,0.004912
Alpine Jacksons to Kaniere - Lake Paringa cores,-43.717484,169.384491,261.051862,233.274409,251.456014,328.222795,399.939129,0.003831,0.002500,0.003047,0.003977,0.004287
Alpine Jacksons to Kaniere - Lake Mapourika cores,-43.315880,170.203247,327.783540,218.050006,274.283561,424.239707,524.210470,0.003051,0.001908,0.002357,0.003646,0.004586
Alpine Jacksons to Kaniere - Staples 2 trench,-42.902023,171.122955,283.324286,148.524606,232.860816,653.159307,1250.425584,0.003530,0.000800,0.001531,0.004294,0.006733
Alpine Jacksons to Kaniere - Staples 3 trench,-42.901985,171.122406,269.836699,153.793910,222.716294,522.317677,888.028286,0.003706,0.001126,0.001915,0.004490,0.006502
Alpine Jacksons to Kaniere - Haast South trench,-43.909660,169.065597,373.350269,215.762025,293.573676,485.351889,594.602592,0.002678,0.001682,0.002060,0.003406,0.004635
Alpine Kaniere to Springs Junction - Lake Kaniere cores,-42.864197,171.191071,261.451736,223.806218,249.726083,341.062749,443.507929,0.003825,0.002255,0.002932,0.004004,0.004468
Alpine Kaniere to Springs Junction - Lake Brunner cores,-42.701221,171.519424,275.539609,159.095714,222.900588,468.549352,723.768848,0.003629,0.001382,0.002134,0.004486,0.006286
Alpine Springs Junction to Tophouse - Maruia Trench-1,-42.349945,172.223297,383.551405,226.531993,306.287885,522.625740,667.183294,0.002607,0.001499,0.001913,0.003265,0.004414
Alpine Springs Junction to Tophouse - Maruia Trench-2,-42.349705,172.223785,383.441654,221.437500,304.184237,524.509887,672.058286,0.002608,0.001488,0.001907,0.003287,0.004516
Awatere Northeast 1 - Upcot 1 trench,-41.955875,173.465607,1005.868072,594.122239,828.626488,1695.746853,2611.949502,0.000994,0.000383,0.000590,0.001207,0.001683
Clarence Northeast - Ravine Stream exposure,-42.063961,173.642731,2315.721304,1390.557948,1880.710719,3412.438131,4735.850615,0.000432,0.000211,0.000293,0.000532,0.000719
Cloudy 2 - Cloudy seismic lines,-41.467918,174.308624,3161.511499,1883.925845,2600.329015,5227.140639,8044.993109,0.000316,0.000124,0.000191,0.000385,0.000531
Dunstan - T04/2,-45.034107,169.531296,4491.043509,2562.264150,3811.378401,11306.063909,26442.389541,0.000223,0.000038,0.000088,0.000262,0.000390
Te Ikaarongamai - Pakarae River mouth,-38.569973,178.292000,1281.564055,759.103098,1050.094011,2156.741269,3281.024340,0.000780,0.000305,0.000464,0.000952,0.001317
Gable End North - Puatai Beach trench,-38.464764,178.418500,1210.078807,670.712816,977.019428,2144.535935,3387.519287,0.000826,0.000295,0.000466,0.001024,0.001491
Hohonu South - Lower Mikonui River exposure,-42.909340,170.772720,16373.182425,7647.583224,13144.023666,42275.158004,83773.283335,0.000061,0.000012,0.000024,0.000076,0.000131
Inglewood - Egmont Road trenches,-39.172672,174.148392,6041.496374,3148.633338,4970.521548,14203.063150,26537.738731,0.000166,0.000038,0.000070,0.000201,0.000318
Inglewood - Everett Park trench,-39.124008,174.284409,6060.467064,3142.682058,4949.511266,14203.406809,26509.378718,0.000165,0.000038,0.000070,0.000202,0.000318
