Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,8867.230017,4849.171542,7195.483061,17167.307013,30247.993726,0.000113,0.000033,0.000058,0.000139,0.000206
Waihi South - Waihi transect 12- fault 5a,-39.132458,175.624512,24775.552724,12844.271685,20343.934052,58037.042313,108002.325357,0.000040,0.000009,0.000017,0.000049,0.000078
Waihi South - Waihi transect 14- fault 6b,-39.122543,175.633163,24789.127493,12852.452140,20319.014500,58044.803270,108149.366479,0.000040,0.000009,0.000017,0.000049,0.000078
Waimana North - Moana trench,-38.086498,177.133118,3202.572477,1407.424078,2679.576487,11273.672759,26963.552467,0.000312,0.000037,0.000089,0.000373,0.000711
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1800.914657,756.112314,1417.379620,5146.927223,10701.572589,0.000555,0.000093,0.000194,0.000706,0.001323
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3348.055501,1611.770616,2693.390708,8120.466960,15596.928650,0.000299,0.000064,0.000123,0.000371,0.000620
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3879.634256,1002.550343,3207.418388,20846.362753,52682.506240,0.000258,0.000019,0.000048,0.000312,0.000997
Wairarapa - Turakirae Head,-41.435307,174.917267,2649.607096,1582.929837,2184.872191,4468.712296,7106.636140,0.000377,0.000141,0.000224,0.000458,0.000632
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2120.373816,1049.917626,1713.943925,5011.177964,9510.528580,0.000472,0.000105,0.000200,0.000583,0.000952
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2795.934397,1280.779804,2041.111927,4366.185521,5997.042829,0.000358,0.000167,0.000229,0.000490,0.000781
Wairau - Wadsworth Trench,-41.582134,173.509796,1100.583377,531.786168,873.808019,2479.823666,4621.177863,0.000909,0.000216,0.000403,0.001144,0.001880
Wairau - Dillon Trench,-41.570991,173.543320,1972.235680,990.193116,1580.553964,4373.414898,8119.935664,0.000507,0.000123,0.000229,0.000633,0.001010
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2474.765604,1607.918468,2096.283052,3707.886178,5343.907533,0.000404,0.000187,0.000270,0.000477,0.000622
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1340.172114,594.887770,1160.651068,5295.075164,12377.996446,0.000746,0.000081,0.000189,0.000862,0.001681
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1686.005353,960.470014,1364.565646,2778.900359,4101.395155,0.000593,0.000244,0.000360,0.000733,0.001041
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,1120.854060,559.840118,889.386770,2380.193048,4035.772653,0.000892,0.000248,0.000420,0.001124,0.001786
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,908.175448,485.831945,731.450153,1833.736742,3187.632227,0.001101,0.000314,0.000545,0.001367,0.002058
