Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Titri Central - Clarendon T16/03 trench,-46.057114,170.030579,10349.051297,5324.675760,8349.057152,22397.796518,38885.553135,0.000097,0.000026,0.000045,0.000120,0.000188
Waihi South - Waihi transect 12- fault 5a,-39.132458,175.624512,24869.922643,12701.512848,20055.084235,52971.070442,77833.145130,0.000040,0.000013,0.000019,0.000050,0.000079
Waihi South - Waihi transect 14- fault 6b,-39.122543,175.633163,24883.837725,12712.863579,19997.680221,53223.551246,78809.248721,0.000040,0.000013,0.000019,0.000050,0.000079
Waimana North - Moana trench,-38.086498,177.133118,3220.954686,1352.400529,2518.759175,8160.126503,11135.531212,0.000310,0.000090,0.000123,0.000397,0.000739
Waimana North - Te Hoe / Hautapu Trench,-38.989807,176.785660,1827.158620,740.653138,1397.609941,5137.210204,10544.470045,0.000547,0.000095,0.000195,0.000716,0.001350
Waimana North - Ahirau 1 trench,-38.282352,177.120819,3370.441224,1603.183324,2666.969633,7848.638429,13304.832725,0.000297,0.000075,0.000127,0.000375,0.000624
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3811.750842,946.505001,2981.632888,15727.960178,24243.363704,0.000262,0.000041,0.000064,0.000335,0.001057
Wairarapa - Turakirae Head,-41.435307,174.917267,2648.679775,1584.907423,2173.377234,4376.366786,6443.555612,0.000378,0.000155,0.000229,0.000460,0.000631
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2126.411175,1010.886860,1614.582371,3723.142057,4563.066247,0.000470,0.000219,0.000269,0.000619,0.000989
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2621.748329,1162.071220,1904.624732,4295.036721,5922.551267,0.000381,0.000169,0.000233,0.000525,0.000861
Wairau - Wadsworth Trench,-41.582134,173.509796,1105.671432,524.111405,855.503152,2187.568020,2993.304818,0.000904,0.000334,0.000457,0.001169,0.001908
Wairau - Dillon Trench,-41.570991,173.543320,1979.711260,976.616495,1554.671105,3855.555143,5238.352447,0.000505,0.000191,0.000259,0.000643,0.001024
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2458.636705,1586.598158,2057.970345,3707.773001,5357.575657,0.000407,0.000187,0.000270,0.000486,0.000630
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1337.027421,559.191481,1064.012157,3608.720464,4855.318461,0.000748,0.000206,0.000277,0.000940,0.001788
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1315.957789,794.516536,1063.895781,1779.674919,2268.405835,0.000760,0.000441,0.000562,0.000940,0.001259
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,946.482145,482.765016,721.358062,1433.288924,1945.109490,0.001057,0.000514,0.000698,0.001386,0.002071
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,903.876133,478.970587,735.078040,1829.355337,3133.175097,0.001106,0.000319,0.000547,0.001360,0.002088
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1025.130580,572.371631,831.091030,1814.224746,2857.726322,0.000975,0.000350,0.000551,0.001203,0.001747
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,699.157426,360.534494,547.857818,1398.017519,2521.957463,0.001430,0.000397,0.000715,0.001825,0.002774
Whakatane North - Te Whetu trench,-38.137844,177.014114,9003.463315,5135.764653,7294.480185,16289.128235,26363.134050,0.000111,0.000038,0.000061,0.000137,0.000195
Whakatane South - Thalassa trench,-38.612709,176.968338,2840.210751,1573.690405,2309.089315,5495.817927,9063.864493,0.000352,0.000110,0.000182,0.000433,0.000635
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1062.622608,892.021913,995.321416,1233.223304,1464.864615,0.000941,0.000683,0.000811,0.001005,0.001121
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,235.148364,133.742818,188.377643,358.904521,481.418976,0.004253,0.002077,0.002786,0.005308,0.007477
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.470844,161.547518,225.122124,479.420549,758.170746,0.003617,0.001319,0.002086,0.004442,0.006190
Paeroa - Combined Paeroa trenches,-38.292915,176.347321,2523.852998,1572.572453,2063.555960,3904.744113,5684.559327,0.000396,0.000176,0.000256,0.000485,0.000636
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5756.425253,2828.731956,4532.117147,11771.504207,20607.814882,0.000174,0.000049,0.000085,0.000221,0.000354
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1355.630402,803.720036,1090.243715,1916.934988,2522.862113,0.000738,0.000396,0.000522,0.000917,0.001244
Wairarapa 2 - Cross Creek North combined (2- 3),-41.170269,175.242127,1623.399963,921.182093,1278.162415,2259.858300,2922.150740,0.000616,0.000342,0.000443,0.000782,0.001086
Edgecumbe 1987_5294-5308_Combined,-37.992892,176.836865,653.846154,53.422770,292.166763,1348.989186,2349.228197,0.001529,0.000426,0.000741,0.003423,0.018719
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,5238.095238,695.615856,2695.192584,8318.130753,11685.237254,0.000191,0.000086,0.000120,0.000371,0.001438
Fox Peak_4035_Trench 4,-43.872320,170.828035,2444.444444,311.636661,1191.792276,4660.597367,10664.701541,0.000409,0.000094,0.000215,0.000839,0.003209
Hope Conway_666-675_Combined,-42.425213,173.292386,265.822785,23.979875,123.046547,468.295818,656.255737,0.003762,0.001524,0.002135,0.008127,0.041702
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,412.844037,37.888051,191.425581,732.827276,1055.782440,0.002422,0.000947,0.001365,0.005224,0.026394
The Humps_5565-5696_Combined ,-42.618360,173.077671,4687.500000,420.426703,2087.937769,10033.167257,24135.327171,0.000213,0.000041,0.000100,0.000479,0.002379
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,1346.938776,123.696470,626.145036,2358.435634,3315.525202,0.000742,0.000302,0.000424,0.001597,0.008084
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,5400.000000,488.201403,2467.816235,10296.865502,17137.168187,0.000185,0.000058,0.000097,0.000405,0.002048
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,20000.000000,1828.486431,9164.643517,37917.450367,62990.641699,0.000050,0.000016,0.000026,0.000109,0.000547
