Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Waipukaka - Hendricksen Trench 1,-40.474026,176.224701,3879.634256,1002.550343,3207.418388,20846.362753,52682.506240,0.000258,0.000019,0.000048,0.000312,0.000997
Wairarapa - Turakirae Head,-41.435307,174.917267,2649.607096,1582.929837,2184.872191,4468.712296,7106.636140,0.000377,0.000141,0.000224,0.000458,0.000632
Wairarapa - Lake Kohangapiripiri KP99-1&2,-41.414430,174.933400,2120.373816,1049.917626,1713.943925,5011.177964,9510.528580,0.000472,0.000105,0.000200,0.000583,0.000952
Wairarapa 3 - Tea Creek Road,-40.939556,175.535461,2577.902989,1202.662143,1884.124771,3854.619118,5143.650836,0.000388,0.000194,0.000259,0.000531,0.000831
Wairau - Wadsworth Trench,-41.582134,173.509796,1100.583377,531.786168,873.808019,2479.823666,4621.177863,0.000909,0.000216,0.000403,0.001144,0.001880
Wairau - Dillon Trench,-41.570991,173.543320,1972.235680,990.193116,1580.553964,4373.414898,8119.935664,0.000507,0.000123,0.000229,0.000633,0.001010
Wairau 2 - Wairau seismic lines,-41.375492,174.208725,2459.547355,1614.199101,2079.753212,3672.438326,5289.626289,0.000407,0.000189,0.000272,0.000481,0.000620
Wellington Hutt Valley 3 - Te Kopahou-1 Trenches,-41.342838,174.699692,1340.172114,594.887770,1160.651068,5295.075164,12377.996446,0.000746,0.000081,0.000189,0.000862,0.001681
Wellington Hutt Valley 5 - KAF-1,-41.072926,175.180313,1236.138723,765.995155,1003.409848,1618.813721,2031.165555,0.000809,0.000492,0.000618,0.000997,0.001305
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,925.649892,489.868977,711.664281,1320.820399,1736.296111,0.001080,0.000576,0.000757,0.001405,0.002041
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,908.175448,485.831945,731.450153,1833.736742,3187.632227,0.001101,0.000314,0.000545,0.001367,0.002058
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1025.630953,580.876497,831.511605,1829.137622,2939.795158,0.000975,0.000340,0.000547,0.001203,0.001722
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,693.285899,361.516124,556.154392,1405.485018,2529.078658,0.001442,0.000395,0.000711,0.001798,0.002766
Whakatane North - Te Whetu trench,-38.137844,177.014114,9012.916182,5166.387746,7390.886119,16381.567042,26484.497151,0.000111,0.000038,0.000061,0.000135,0.000194
Whakatane South - Thalassa trench,-38.612709,176.968338,2826.657394,1584.795522,2318.978012,5536.884245,9473.352063,0.000354,0.000106,0.000181,0.000431,0.000631
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1058.600238,876.071544,985.844045,1195.177651,1399.405560,0.000945,0.000715,0.000837,0.001014,0.001141
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,236.651710,135.397726,186.522689,334.585892,431.524133,0.004226,0.002317,0.002989,0.005361,0.007386
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.695000,163.150082,227.632381,479.954421,760.312244,0.003614,0.001315,0.002084,0.004393,0.006129
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5696.517570,2796.579246,4485.863707,11806.096369,20646.685046,0.000176,0.000048,0.000085,0.000223,0.000358
Wairarapa 2 - Cross Creek combined,-41.170505,175.242767,1362.859796,870.008970,1122.573095,1782.046085,2217.017633,0.000734,0.000451,0.000561,0.000891,0.001149
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,5238.095238,2168.007692,3653.319337,7006.974807,9084.677691,0.000191,0.000110,0.000143,0.000274,0.000461
Fox Peak_4035_Trench 4,-43.872320,170.828035,2444.444444,859.416273,1518.390992,4143.520945,9483.821996,0.000409,0.000105,0.000241,0.000659,0.001164
Hope Conway_666-675_Combined,-42.425213,173.292386,265.822785,37.552052,140.092961,406.552207,543.890987,0.003762,0.001839,0.002460,0.007138,0.026630
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,412.844037,62.439584,220.582116,635.208045,874.214478,0.002422,0.001144,0.001574,0.004533,0.016015
The Humps_5565-5696_Combined ,-42.618360,173.077671,4687.500000,670.999208,2335.921120,8908.320000,21389.133004,0.000213,0.000047,0.000112,0.000428,0.001490
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,1346.938776,204.100232,723.218957,2039.576157,2730.516987,0.000742,0.000366,0.000490,0.001383,0.004900
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,5400.000000,773.192338,2789.322324,9029.274056,14605.221854,0.000185,0.000068,0.000111,0.000359,0.001293
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,20000.000000,2992.002816,10449.001187,33181.647146,53517.345985,0.000050,0.000019,0.000030,0.000096,0.000334
