Central Wedge 1 & 2 & 3 , 0.053752037042192884
Alpine: Caswell - South George , 0.05909198459539869
Snares , 0.0910725116862142
Alpine: George to Jacksons , 0.09993695615200081
Central Balleny , 0.10167520779970297
South Wedge 5 , 0.11405838857799777
West Balleny , 0.13350332650927385
Alpine: Nancy , 0.13368784147841514
Alpine: George seaward , 0.13739876477247853
Darran , 0.14809675281364132
Five Fingers , 0.16512005699751486
Alpine: Resolution - Dagg , 0.17567512263196164
Hollyford , 0.19821969351596772
Alpine: Resolution - Five Fingers , 0.2070672607800319
Alpine: Caswell , 0.22236471055103196
Skippers , 0.22957654524289978
Central Wedge 4 - South Wedge 411 , 0.23895638790152474
Alpine: George landward , 0.2629438193763717
Alpine: Resolution - Charles , 0.3784613836428407
South Wedge 3-6-10 , 1.2153324531786864
Madagascar , 1.346477273400518
South Wedge 2 , 4.160327850999928
South Wedge 1 , 4.744370349128178
Hauroko: South , 6.667548500984555
Barn , 8.46932713893154
Caswell High 1 , 8.729545824062088
Caswell 211 , 8.992617838747414
Spey - Mica Burn , 9.167229869301535
Tauru , 9.434201011941726
Te Anau , 11.814558016734418
Livingstone , 19.78133990763121
Caswell High 3 , 22.352579414261747
Moonlight North , 26.02512078508602
Caswell High 4 , 26.352816788160162
West Wakatipu , 28.241140718948596
Milford Basin 5 to George R2 , 28.2666404495829
Solander , 29.543070374476578
Caswell High 5 , 30.247841712903025
Caswell High 10 , 31.556899506625477
Caswell High 67 , 34.06585182966456
Caswell High 9 , 36.59401470312514
Hauroko: North , 39.04079834458972
Caswell High 8 , 44.321101105518466
NW Cardrona North , 50.38662293033024
Tin Hut , 51.99440265895865
Hump Ridge , 52.63487101449536
Alpine: Jacksons to Kaniere , 56.06699440912644
Monowai , 57.751494346521895
Nevis , 57.791981967176405
NW Cardrona South , 58.07798980576906
Mossburn , 59.509787484372055
Cardrona - Hawea , 59.76918401511153
Roaring Meg , 62.190016344700005
Pisa , 63.17783999857435
Hunter Valley , 67.79341908676781
McKerchar , 68.15115996410772
Motatapu , 69.74992730556042
Moonlight South , 72.16036332367959
Timaru Creek , 72.77499758071646
Dingle , 75.6634112478791
Wanaka , 76.38137675567492
White Hill , 81.6731639612942
Cluden , 83.0262207228313
Dunstan , 83.03410132376031
Paddys Ridge , 84.16914112515832
Hokonui , 87.08590353037638
Old Man , 88.61892949020346
Acton , 89.45541296149713
Grandview , 90.85095120997491
Dromedary , 91.79726535485223
Ostler South , 96.5021623395609
Barrier Range , 96.86943319331189
Lindis River , 97.34255574547775
Goodger , 99.66223395492094
Raggedy - Blackstone , 103.55466043091113
Mid Dome , 103.92489704075146
Roaring Lion , 103.98645410349083
Hopkins , 104.34409875488086
Garvie , 109.83477099883383
Hedgehope , 114.8266206872592
Ostler North , 115.03358102976034
Garibaldi , 115.81543849097923
Blue Lake , 120.99132282155692
Galloway , 122.09749326511663
Gimmerburn , 122.91414558290784
Huxley , 122.97554027079788
Waikaka , 126.78668038102514
Waikaia , 127.25630298216382
Lake Onslow , 127.65677426543981
Gibson , 128.67004373387874
Teviot , 129.06414149556934
Omarama Saddle , 129.9779233321896
Fern Gully , 130.52807599355597
Hawkdun , 130.54116545521993
Falstone , 130.79910225007922
Little Valley , 134.31661875311093
Wendon Valley , 134.93226955673578
Mt Sutton , 137.52263479782235
Grampian , 143.55815040290094
Backbone , 144.1899942980566
Hyde South - The Twins , 146.04773836390785
Hyde North , 148.03916134271233
Middle Range , 148.23911030293732
Waitangi , 148.69916270034423
Hillfoot , 150.34273414110908
Kirkliston , 150.47220653054092
Awahokomo , 151.26348917060454
Long Valley , 152.89837845693478
Spylaw , 154.64069796335633
Waihemo , 157.6895787810826
Cross Eden , 158.1947247133692
Pylap , 160.37757639387397
Beaumont River , 160.69664575587453
Horse Flat , 161.8377449306427
Ranfurly , 161.85430669660175
Tuapeka , 163.3786486409155
Irishman Creek , 164.84687334876782
Dryburgh , 165.23336690367577
Hohonu: South , 165.88913674285013
Billys Ridge , 166.2691116592508
Campbell Hills , 166.32955201700904
Logan Burn , 166.46681220811445
Waipiata , 167.930339488258
Nichols Rock , 169.23803841894951
Dalgety , 169.36189253346393
Stonewall , 170.50253959170576
Murphys Creek , 170.58374154712436
Blue Mountain , 170.70100807274878
Fox Peak , 170.71760412830292
Maungatua - North Taieri , 172.5889515165685
Beacon Hill , 173.67388151482083
Dunback Hill , 174.63298805491814
Chamberlain , 174.9347936829803
Flat Stream - Glenpark , 176.29258403308555
Hunters , 181.12958883197865
Black Hill , 181.4097291259391
Albury , 181.50468417568698
Waitaki , 187.66531923750924
Clifton , 190.54318806675144
Sliver Stream - Merton , 190.69129718530908
Sugarloaf , 195.78178218714365
Opawa , 196.68977987134832
Little Hillfoot , 197.5786577153987
Waimate , 200.28216054448768
Waitahuna 1 , 201.45212640081533
Brothers , 206.06106132757628
Otanomomo , 206.16925438228992
Waitahuna 2 , 206.89675291371128
Hutt Peel , 207.64072015200796
Catherine , 209.7573659433253
Settlement , 210.09432479206282
Maungati , 212.3825586735477
Edith , 213.5008003312589
Ben McLeod , 216.61681979525397
Rapuwai , 219.14855885227217
Titri Central , 220.41731640850801
Titri North , 221.22010174798208
Awamoa , 221.35908656297505
Titri South , 222.54862756699467
Lake Heron , 227.72853906288654
Green Island , 228.72959914589654
Akatore , 229.0009607918472
Kaikorai , 230.84045013733706
Klondyke Moor , 236.20492518133958
Takapu , 246.86776142851957
Double Hill , 250.72023164718104
North Branch , 252.78187334175917
Redcliffe , 262.5420987636509
Rakaia , 273.6242048326215
