along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
0,0,173.45996962300296,-43.03153369898753,173.64989390277424,-43.26312805352704,5.4155619042338685,16.389469211666423,19.220830539015886,1.6759437750169877,"POLYGON Z ((1627039.308027011 5194554.724731837 -19220.83053901589, 1652745.251798081 5209759.587370895 -16389.46921166642, 1637472.215939111 5235580.787491157 -16389.46921166642, 1611766.272168042 5220375.924852099 -19220.83053901589, 1627039.308027011 5194554.724731837 -19220.83053901589))"
0,1,173.2831480160837,-42.978650979591066,173.2251638080412,-43.2454358705221,7.770930190505199,19.601135252607378,23.65752181193954,1.5689976371763223,"POLYGON Z ((1588939.150141091 5216668.031602101 -23657.52181193954, 1618279.516466424 5211904.773056053 -19601.13525260738, 1623086.923497797 5241517.081943316 -19601.13525260738, 1593746.557172464 5246280.340489365 -23657.52181193954, 1588939.150141091 5216668.031602101 -23657.52181193954))"
0,2,173.00804887296738,-42.92244470625988,172.81229196768862,-43.15127102817065,14.96697966184022,24.919182025683916,32.66705180391453,0.9956568095238018,"POLYGON Z ((1560172.456636689 5237748.497898662 -32667.05180391454, 1584737.812344591 5222369.492311701 -24919.18202568392, 1600656.874885237 5247797.497499427 -24919.18202568392, 1576091.519177335 5263176.503086388 -32667.05180391454, 1560172.456636689 5237748.497898662 -32667.05180391454))"
0,3,172.70377921537334,-42.84226370733299,172.44003557082343,-43.030488604944836,19.114789102756802,32.830712202916736,42.65456611010316,0.2141824160208024,"POLYGON Z ((1534527.824668657 5255879.849860045 -42654.56611010316, 1554380.744606493 5235647.364487454 -32830.71220291674, 1575793.854203275 5256658.75990509 -32830.71220291674, 1555940.934265439 5276891.24527768 -42654.56611010316, 1534527.824668657 5255879.849860045 -42654.56611010316))"
1,0,173.86608077423722,-42.88856001661767,173.85372850483634,-43.15854322879873,4.087183585723122,15.797413456931231,17.935643248514964,3.508169793128108,"POLYGON Z ((1639511.984228023 5222535.415449905 -17935.64324851496, 1669406.992772864 5221225.28665384 -15797.41345693123, 1670720.462048165 5251196.519502404 -15797.41345693123, 1640825.453503324 5252506.648298469 -17935.64324851496, 1639511.984228023 5222535.415449905 -17935.64324851496))"
1,1,173.59174810408712,-42.82083658359804,173.45008244024538,-43.07013414341077,7.631064054321687,18.23525846406417,22.21907180852442,3.2273029815847085,"POLYGON Z ((1609275.992017271 5242923.348863559 -22219.07180852442, 1636643.751350546 5231298.591648356 -18235.25846406417, 1648372.380955713 5258910.894116364 -18235.25846406417, 1621004.621622438 5270535.651331567 -22219.07180852442, 1609275.992017271 5242923.348863559 -22219.07180852442))"
1,2,173.2904592625681,-42.73664041787001,173.0781063359309,-42.95702695401411,15.490964501330334,23.550514112916144,31.563106383007433,2.481396972409044,"POLYGON Z ((1582823.458459253 5260727.004311294 -31563.10638300743, 1606370.753664806 5243954.310621375 -23550.51411291614, 1623775.724979353 5268389.264550936 -23550.51411291614, 1600228.429773801 5285161.958240855 -31563.10638300743, 1582823.458459253 5260727.004311294 -31563.10638300743))"
1,3,172.98216706820446,-42.63594963593247,172.73322873470602,-42.83422536289517,22.471016861985554,31.24325946432026,42.70974060030942,1.1998189342200092,"POLYGON Z ((1557820.334799131 5276355.40790927 -42709.74060030942, 1578197.543397672 5257559.419505103 -31243.25946432026, 1598537.915319005 5279610.933514392 -31243.25946432026, 1578160.706720464 5298406.921918559 -42709.74060030942, 1557820.334799131 5276355.40790927 -42709.74060030942))"
2,0,174.19000635714025,-42.74168314637085,174.06112538278236,-42.9946325109774,3.60388263516864,14.791570347862178,16.677314860886682,5.465440845993125,"POLYGON Z ((1658605.084116388 5250116.338220277 -16677.31486088668, 1686498.463847444 5239235.008576768 -14791.57034786218, 1697401.354271295 5267183.65756747 -14791.57034786218, 1669507.974540239 5278064.98721098 -16677.31486088668, 1658605.084116388 5250116.338220277 -16677.31486088668))"
2,1,173.8804015636281,-42.647143294364895,173.6960499594908,-42.88065995086207,7.255228037037499,17.23832537362289,21.027009940123687,5.7214848386612225,"POLYGON Z ((1631260.303348263 5267405.820047924 -21027.00994012369, 1656843.666062871 5252202.615732111 -17238.32537362289, 1672169.578363105 5277992.46668487 -17238.32537362289, 1646586.215648497 5293195.671000684 -21027.00994012369, 1631260.303348263 5267405.820047924 -21027.00994012369))"
