along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),tile_geometry
0,0,172.55049384268952,-43.66066194689264,172.44173203440846,-43.70398277095125,17.190332526361505,27.777180834317445,30.732649458700852,"POLYGON Z ((1568403.689911056 5157370.647731881 -30732.64945870085, 1563756.460558967 5165717.411449596 -27777.18083431745, 1555019.396855652 5160852.874694238 -27777.18083431745, 1559666.626207742 5152506.110976523 -30732.64945870085, 1568403.689911056 5157370.647731881 -30732.64945870085))"
0,1,172.47296534458786,-43.6059065011278,172.35583940675505,-43.63534622846773,9.730595837337948,26.05032447851844,27.740481671477475,"POLYGON Z ((1560754.988229565 5162470.378958552 -27740.48167147748, 1557466.753940023 5171761.820392483 -26050.32447851844, 1548039.688669806 5168425.588927031 -26050.32447851844, 1551327.922959348 5159134.147493101 -27740.48167147748, 1560754.988229565 5162470.378958552 -27740.48167147748))"
0,2,172.3391136381901,-43.53988717373262,172.4293503838267,-43.6015505895119,3.354830653187863,25.828426371737926,26.413620262173023,"POLYGON Z ((1547160.867150199 5164897.547908339 -26413.62026217302, 1553943.569675008 5172222.334224031 -25828.42637173793, 1546606.209119977 5179016.680409315 -25828.42637173793, 1539823.506595168 5171691.894093622 -26413.62026217302, 1547160.867150199 5164897.547908339 -26413.62026217302))"
0,3,172.33001404532172,-43.520284730458144,172.28135753916627,-43.60307961223907,6.915901943781332,26.109450377717053,27.313574031156808,"POLYGON Z ((1532839.842536985 5175784.620860833 -27313.57403115681, 1542000.689311197 5171959.836866063 -26109.45037771705, 1545853.50655541 5181187.826857534 -26109.45037771705, 1536692.659781198 5185012.610852304 -27313.57403115681, 1532839.842536985 5175784.620860833 -27313.57403115681))"
0,4,172.24268881162706,-43.47309899751564,172.17280352691546,-43.54739397531888,10.687797287418245,27.331460311201145,29.186033678675194,"POLYGON Z ((1525017.244397545 5183536.489309459 -29186.03367867519, 1533178.066755671 5178062.776121525 -27331.46031120115, 1538748.412536002 5186367.669130321 -27331.46031120115, 1530587.590177876 5191841.382318255 -29186.03367867519, 1525017.244397545 5183536.489309459 -29186.03367867519))"
0,5,172.15289485360287,-43.42000512957658,172.07440468929877,-43.48955601373996,12.304833921583548,29.237078193834066,31.3682063613206,"POLYGON Z ((1517545.043861509 5190526.516036782 -31368.2063613206, 1525157.79498145 5184402.439525212 -29237.07819383407, 1531425.86409622 5192194.185771881 -29237.07819383407, 1523813.112976279 5198318.262283451 -31368.2063613206, 1517545.043861509 5190526.516036782 -31368.2063613206))"
0,6,172.06300915691102,-43.36651675667496,171.97739225607305,-43.43139615156615,11.705865896797393,31.356078313909183,33.38495377744904,"POLYGON Z ((1510098.939728541 5197475.906666266 -33384.95377744904, 1517234.170973336 5190769.779659064 -31356.07831390918, 1524082.734093005 5198056.561060747 -31356.07831390918, 1516947.502848209 5204762.688067949 -33384.95377744904, 1510098.939728541 5197475.906666266 -33384.95377744904))"
1,0,172.64501897152118,-43.59954874059301,172.53382327497368,-43.639313969118454,16.25555174108543,26.795272837432112,29.5944932160583,"POLYGON Z ((1575631.355088312 5163949.442094599 -29594.4932160583, 1571348.981530503 5172541.627031113 -26795.27283743211, 1562399.000849219 5168080.926883756 -26795.27283743211, 1566681.374407027 5159488.741947242 -29594.4932160583, 1575631.355088312 5163949.442094599 -29594.4932160583))"
1,1,172.5637722710231,-43.543754598669,172.44640809376534,-43.572430195437214,8.880200993106621,25.34360676778234,26.887296565515864,"POLYGON Z ((1567961.189285342 5169360.087028075 -26887.29656551587, 1564758.921864104 5178706.878197843 -25343.60676778234, 1555298.733958873 5175465.760366336 -25343.60676778234, 1558501.001380111 5166118.969196567 -26887.29656551587, 1567961.189285342 5169360.087028075 -26887.29656551587))"
1,2,172.44220596867652,-43.477837653859055,172.51851406753119,-43.5487115943056,2.905294291172359,25.318439393304615,25.82529163668574,"POLYGON Z ((1553283.303250707 5171927.286143529 -25825.29163668574, 1561105.877210317 5178136.186001782 -25318.43939330462, 1554888.986645792 5185968.827427809 -25318.43939330462, 1547066.412686182 5179759.927569556 -25825.29163668574, 1553283.303250707 5171927.286143529 -25825.29163668574))"
