along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip deficit rate (mm/yr),tile_geometry,,,,
3,0,167.56641945157295,-44.627818801382475,167.4287361502795,-44.72000420885816,42.066329766088735,14.590298195365957,24.640155340447834,4.823580,"POLYGON Z ((1177129.751052174 5036426.64566991 -24640.15534044783, 1168978.7462378 5044013.574684966 -14590.29819536596, 1158758.86646234 5033033.863515033 -14590.29819536596, 1166909.871276714 5025446.934499977 -24640.15534044783, 1177129.751052174 5036426.64566991 -24640.15534044783))"
3,1,167.70163481752846,-44.67797514464014,167.56065699742956,-44.76770709952141,45.023793659985316,22.175808073673224,32.78681356201043,4.833703,"POLYGON Z ((1187635.696476516 5031723.995076892 -32786.81356201043, 1180068.293561197 5039149.692057223 -22175.80807367322, 1169562.408415864 5028443.321182222 -22175.80807367322, 1177129.811331183 5021017.624201891 -32786.81356201043, 1187635.696476516 5031723.995076892 -32786.81356201043))"
3,2,167.7981089025152,-44.715883695871604,167.65922990010037,-44.807351510815145,51.17935746424532,34.11758367858849,45.8042660996006,4.842677,"POLYGON Z ((1194801.72632445 5028956.079446049 -45804.2660996006, 1187984.40385001 5035432.619283794 -34117.58367858849, 1177653.091920098 5024557.694281438 -34117.58367858849, 1184470.414394538 5018081.154443693 -45804.2660996006, 1194801.72632445 5028956.079446049 -45804.2660996006))"
4,0,167.4206672498322,-44.727088179659255,167.28953107838592,-44.824146924992924,41.52173899408419,16.85660952221523,26.800172028179013,4.876984,"POLYGON Z ((1166787.223075336 5024996.362882468 -26800.17202817901, 1158173.891852387 5032203.032705193 -16856.60952221523, 1148548.36915774 5020698.715565317 -16856.60952221523, 1157161.700380689 5013492.045742592 -26800.17202817901, 1166787.223075336 5024996.362882468 -26800.17202817901))"
4,1,167.56264927541844,-44.78022546838879,167.4294042554318,-44.87592403246259,45.643356154789956,25.111755033470654,35.83678376792214,4.887653,"POLYGON Z ((1177745.81892816 5020204.050915761 -35836.78376792214, 1169813.298170748 5027063.269025605 -25111.75503347065, 1160002.116045258 5015716.872888485 -25111.75503347065, 1167934.63680267 5008857.654778641 -35836.78376792214, 1177745.81892816 5020204.050915761 -35836.78376792214))"
4,2,167.70129842133875,-44.83504625436385,167.5687552126382,-44.931346935559255,57.62869609899488,33.85328510806639,46.52222786569302,4.900121,"POLYGON Z ((1187280.067535596 5016474.565241655 -46522.22786569302, 1181181.04720331 5021699.490158852 -33853.28510806639, 1171422.199029213 5010308.051166568 -33853.28510806639, 1177521.219361499 5005083.126249371 -46522.22786569302, 1187280.067535596 5016474.565241655 -46522.22786569302))"
5,0,167.28908344613524,-44.831019471282026,167.16206123767182,-44.93094366435309,40.33445858287673,16.105161158451832,25.81388630702762,4.931034,"POLYGON Z ((1157574.00955979 5012889.26862925 -25813.88630702762, 1148566.805513651 5019932.771398514 -16105.16115845183, 1139326.749181902 5008116.62316882 -16105.16115845183, 1148333.953228042 5001073.120399556 -25813.88630702762, 1157574.00955979 5012889.26862925 -25813.88630702762))"
5,1,167.42907280061706,-44.88377727606596,167.30271251742545,-44.98422066034355,43.423495472174075,24.093409441883068,34.40419047089523,4.941670,"POLYGON Z ((1168644.492207393 5008165.756431364 -34404.19047089523, 1160035.97926289 5014842.679334626 -24093.40944188307, 1150842.824091315 5002990.004615755 -24093.40944188307, 1159451.337035818 4996313.081712494 -34404.19047089523, 1168644.492207393 5008165.756431364 -34404.19047089523))"
5,2,167.55935151278956,-44.93523247363648,167.43480084035937,-45.036899209125124,55.834494589492465,33.56462394658179,45.97590629726651,4.953141,"POLYGON Z ((1177427.202707499 5004744.38534144 -45975.90629726651, 1170709.18896514 5009826.546473188 -33564.62394658179, 1161659.520469484 4997863.958955484 -33564.62394658179, 1168377.534211843 4992781.797823736 -45975.90629726651, 1177427.202707499 5004744.38534144 -45975.90629726651))"
6,0,167.0829364346169,-44.90588718433499,166.957312579526,-45.0067709378548,35.96020083478647,12.930308779811547,21.73865596848737,4.979307,"POLYGON Z ((1142543.986664837 5003097.213114669 -21738.65596848737, 1132879.272365437 5010446.112169269 -12930.30877981155, 1123800.113414081 4998505.89136997 -12930.30877981155, 1133464.827713482 4991156.992315369 -21738.65596848737, 1142543.986664837 5003097.213114669 -21738.65596848737))"
6,1,167.22568453991678,-44.95988746316196,167.09976937855416,-45.06068541323269,40.47024485351076,20.729790465828287,30.46558640681705,4.989544,"POLYGON Z ((1153641.043413013 4998329.573664589 -30465.58640681705, 1144576.990280185 5005261.905032945 -20729.79046582829, 1135464.412034499 4993347.169714179 -20729.79046582829, 1144528.465167326 4986414.838345823 -30465.58640681705, 1153641.043413013 4998329.573664589 -30465.58640681705))"
6,2,167.34757512335685,-45.00852816360693,167.2308097315032,-45.11480054517467,45.91856298779649,30.2761529543653,41.05142883769418,5.000547,"POLYGON Z ((1163234.174448073 4994724.298106702 -41051.42883769418, 1154568.619356943 5000538.21112641 -30276.1529543653, 1146211.454851886 4988081.975682449 -30276.1529543653, 1154877.009943016 4982268.06266274 -41051.42883769418, 1163234.174448073 4994724.298106702 -41051.42883769418))"
6,3,167.4298903111783,-45.04361178913277,167.3166728104834,-45.15184464547584,67.6587412968489,42.712408571980774,56.58645205297365,5.008894,"POLYGON Z ((1166130.815897206 4994024.448064485 -56586.45205297365, 1161324.206875815 4997091.601011926 -42712.40857198078, 1153255.348751308 4984446.699724586 -42712.40857198078, 1158061.957772699 4981379.546777144 -56586.45205297365, 1166130.815897206 4994024.448064485 -56586.45205297365))"
6,4,167.49866360539008,-45.07039962156145,167.3869590120468,-45.17945516368309,74.54623716719554,56.40622624150393,70.86391321634542,5.014858,"POLYGON Z ((1170332.767155031 4992369.098607408 -70863.91321634542, 1166943.290101236 4994487.289495711 -56406.22624150393, 1158993.932842038 4981766.923181582 -56406.22624150393, 1162383.409895833 4979648.732293279 -70863.91321634542, 1170332.767155031 4992369.098607408 -70863.91321634542))"
7,0,166.95827121473943,-45.01242057390952,166.8372320991964,-45.1162052390271,32.31173153550538,12.453786357044876,20.47166748997493,5.034228,"POLYGON Z ((1134275.949376183 4990568.038960339 -20471.66748997493, 1123922.637700985 4997883.947618489 -12453.78635704488, 1115266.318891621 4985633.717225934 -12453.78635704488, 1125619.630566819 4978317.808567784 -20471.66748997493, 1134275.949376183 4990568.038960339 -20471.66748997493))"
7,1,167.1025370377652,-45.06698001506918,166.9813573207457,-45.17077290412478,37.03864704080436,19.580838187481117,28.616141892270257,5.044309,"POLYGON Z ((1145499.617831535 4985736.730665499 -28616.14189227026, 1135733.443150877 4992663.859873844 -19580.83818748112, 1127055.324721804 4980429.062755339 -19580.83818748112, 1136821.499402462 4973501.933546994 -28616.14189227026, 1145499.617831535 4985736.730665499 -28616.14189227026))"
7,2,167.21647295619263,-45.115482459365275,167.11219329526102,-45.22816319342581,46.40372506292757,29.288358097885325,40.15160852670492,5.056045,"POLYGON Z ((1154130.401795059 4982900.775169537 -40151.60852670492, 1145089.22089888 4987925.39835176 -29288.35809788532, 1137802.643389104 4974814.113586565 -29288.35809788532, 1146843.824285282 4969789.490404342 -40151.60852670492, 1154130.401795059 4982900.775169537 -40151.60852670492))"
7,3,167.30926206263186,-45.15195184001666,167.20597986243024,-45.26513451125177,64.97477079947146,41.481964181923416,55.073788280537215,5.063767,"POLYGON Z ((1158237.156250268 4981342.440248921 -55073.78828053721, 1152673.672184994 4984393.663401656 -41481.96418192342, 1145460.673639104 4971241.756620622 -41481.96418192342, 1151024.157704378 4968190.533467887 -55073.78828053721, 1158237.156250268 4981342.440248921 -55073.78828053721))"
7,4,167.38882704959306,-45.182572900206154,167.28945607532626,-45.297526514026146,72.37396274223296,54.68787043779957,68.98366786253143,5.070466,"POLYGON Z ((1163197.799525301 4979341.46590527 -68983.66786253144, 1159164.834607349 4981430.812683953 -54687.87043779957, 1152264.815069281 4968112.039077712 -54687.87043779957, 1156297.779987233 4966022.692299029 -68983.66786253144, 1163197.799525301 4979341.46590527 -68983.66786253144))"
8,0,166.8375609831563,-45.119637153634265,166.71733398668687,-45.22400563471237,30.351423295203258,12.505071842144302,20.08460668765924,5.088859,"POLYGON Z ((1125956.600111971 4977875.963273371 -20084.60668765924, 1115321.353683244 4985254.458033541 -12505.0718421443, 1106770.962746365 4972930.058866583 -12505.0718421443, 1117406.209175093 4965551.564106412 -20084.60668765924, 1125956.600111971 4977875.963273371 -20084.60668765924))"
8,1,166.98200205757973,-45.17525160772324,166.86447029937216,-45.281232542405505,35.44356065470787,19.224003566845212,27.922514481696105,5.099305,"POLYGON Z ((1137302.570037932 4973143.948445048 -27922.5144816961, 1127143.186764453 4979935.328228772 -19224.00356684521, 1118807.005426603 4967465.040312991 -19224.00356684521, 1128966.388700083 4960673.660529267 -27922.5144816961, 1137302.570037932 4973143.948445048 -27922.5144816961))"
8,2,167.1029217869035,-45.225586184722296,166.998565215769,-45.33830763979323,47.146184108845844,28.498620998612086,39.49499148638417,5.110706,"POLYGON Z ((1145982.488016704 4970111.537761758 -39494.99148638417, 1137053.856312208 4975047.059211527 -28498.62099861208, 1129797.125672648 4961919.231499949 -28498.62099861208, 1138725.757377144 4956983.71005018 -39494.99148638417, 1145982.488016704 4970111.537761758 -39494.99148638417))"
8,3,167.20051083660752,-45.26368106012854,167.09955228339626,-45.37797862488342,59.269704152555335,40.44230986311946,53.336042796600594,5.118681,"POLYGON Z ((1151802.641325643 4967801.928215529 -53336.0427966006, 1145019.996355634 4971372.275292618 -40442.30986311946, 1138032.981645528 4958098.932629944 -40442.30986311946, 1144815.626615537 4954528.585552854 -53336.0427966006, 1151802.641325643 4967801.928215529 -53336.0427966006))"
9,0,166.67579721210362,-45.21112368461232,166.5563896012151,-45.316044390337,25.2558649238531,11.307595527117728,17.70751532282146,5.140859,"POLYGON Z ((1114611.980538034 4966471.283254365 -17707.51532282146, 1103397.622171827 4974105.364275866 -11307.59552711773, 1094956.684365864 4961705.744565736 -11307.59552711773, 1106171.042732071 4954071.663544235 -17707.51532282146, 1114611.980538034 4966471.283254365 -17707.51532282146))"
9,1,166.82436249919974,-45.268704512828336,166.7081672688831,-45.37549782731512,31.318627260359705,17.196935207692313,24.993888332493594,5.151359,"POLYGON Z ((1126293.405867528 4961623.836348421 -24993.88833249359, 1115554.608664274 4968615.671343403 -17196.93520769231, 1107370.226392772 4956045.234324989 -17196.93520769231, 1118109.023596025 4949053.399330007 -24993.88833249359, 1126293.405867528 4961623.836348421 -24993.88833249359))"
9,2,166.95101980682512,-45.32148152913624,166.84844885354863,-45.43507269603475,41.62007996789102,25.76739829316522,35.73022198848262,5.162911,"POLYGON Z ((1135821.028797626 4958223.252060087 -35730.22198848262, 1125931.341689625 4963508.725825215 -25767.39829316522, 1118861.092023331 4950279.531985216 -25767.39829316522, 1128750.779131332 4944994.058220088 -35730.22198848262, 1135821.028797626 4958223.252060087 -35730.22198848262))"
9,3,167.08424544594024,-45.37210510518939,166.9817492049605,-45.4857898296205,55.041547222035994,35.23710385286573,47.53062009848204,5.172696,"POLYGON Z ((1144364.612478875 4954608.301160703 -47530.62009848204, 1136786.49968969 4958663.13344739 -35237.10385286573, 1129709.784817835 4945437.396922627 -35237.10385286573, 1137287.89760702 4941382.56463594 -47530.62009848204, 1144364.612478875 4954608.301160703 -47530.62009848204))"
10,0,166.55620374446653,-45.31974487379252,166.43992844883567,-45.426507707539656,23.161155662479707,11.494825201354315,17.394605411144468,5.196326,"POLYGON Z ((1106557.841044921 4953807.963777185 -17394.60541114447, 1094975.128907555 4961293.508047248 -11494.82520135432, 1086833.37742446 4948695.41760514 -11494.82520135432, 1098416.089561827 4941209.873335077 -17394.60541114447, 1106557.841044921 4953807.963777185 -17394.60541114447))"
10,1,166.70807572632876,-45.378016714794526,166.59322561569965,-45.48563099238211,29.79632365889704,17.121063857794528,24.574838064983698,5.206437,"POLYGON Z ((1118376.863376024 4948792.015199856 -24574.8380649837, 1107385.01802123 4955764.861517144 -17121.06385779453, 1099349.908901253 4943098.487867593 -17121.06385779453, 1110341.754256047 4936125.641550304 -24574.8380649837, 1118376.863376024 4948792.015199856 -24574.8380649837))"
10,2,166.84200423267785,-45.433011448518464,166.73816401835367,-45.546104647125155,43.27016191332416,25.086119847820612,35.367708682559446,5.217895,"POLYGON Z ((1127945.316622643 4945272.041061048 -35367.70868255945, 1118339.463027265 4950469.781698818 -25086.11984782061, 1111200.982314058 4937277.28030192 -25086.11984782061, 1120806.835909437 4932079.53966415 -35367.70868255945, 1127945.316622643 4945272.041061048 -35367.70868255945))"
10,3,166.97346426875845,-45.48298822496252,166.8702363043796,-45.59641881344534,53.44282696024058,34.667305088076006,46.71624876744241,5.227387,"POLYGON Z ((1136908.92280502 4941470.61041466 -46716.24876744241, 1129038.982665191 4945699.912769299 -34667.30508807601, 1121938.365640746 4932486.993414661 -34667.30508807601, 1129808.305780575 4928257.691060022 -46716.24876744241, 1136908.92280502 4941470.61041466 -46716.24876744241))"
11,0,166.38548168304632,-45.40811821136834,166.26986735850514,-45.51530536273169,20.17472166888147,10.400181860859936,15.573443534387613,5.248274,"POLYGON Z ((1094289.331098947 4942836.67351795 -15573.44353438761, 1082405.844644447 4950387.83987441 -10400.18186085994, 1074361.094866106 4937727.587072674 -10400.18186085994, 1086244.581320605 4930176.420716214 -15573.44353438761, 1094289.331098947 4942836.67351795 -15573.44353438761))"
11,1,166.5474015575463,-45.47001985163849,166.43248659767497,-45.57767255486327,26.435313828358233,14.547384955361055,21.225192355216116,5.258445,"POLYGON Z ((1106991.741307311 4937382.063928192 -21225.19235521612, 1095629.491955533 4944544.897026797 -14547.38495536105, 1087630.237112664 4931855.849704053 -14547.38495536105, 1098992.486464442 4924693.016605449 -21225.19235521612, 1106991.741307311 4937382.063928192 -21225.19235521612))"
11,2,166.68703732640566,-45.526950644018854,166.5830615039425,-45.64003716995729,33.61132864642216,21.10301853155286,29.406361912979985,5.269794,"POLYGON Z ((1118042.373917035 4933170.449980213 -29406.36191297998, 1107042.372979846 4939091.131365996 -21103.01853155286, 1099933.10611003 4925882.864084716 -21103.01853155286, 1110933.107047219 4919962.182698933 -29406.36191297998, 1118042.373917035 4933170.449980213 -29406.36191297998))"
11,3,166.8202671659386,-45.57861805291042,166.71910939982902,-45.693018696999694,48.941434253989414,30.086132371508825,41.396711152963846,5.279586,"POLYGON Z ((1126639.84589305 4929637.849029182 -41396.71115296384, 1117888.661093025 4934164.168971952 -30086.13237150883, 1110997.503428406 4920840.808058077 -30086.13237150883, 1119748.68822843 4916314.488115307 -41396.71115296384, 1126639.84589305 4929637.849029182 -41396.71115296384))"
11,4,166.92120494418893,-45.61705148354923,166.82118903602992,-45.73198922655468,57.65761499981502,42.010328395324855,54.68332305514556,5.286973,"POLYGON Z ((1133238.072025118 4926856.660007535 -54683.32305514556, 1126087.495994998 4930498.701851013 -42010.32839532485, 1119279.654736568 4917132.576855338 -42010.32839532485, 1126430.230766687 4913490.535011861 -54683.32305514556, 1133238.072025118 4926856.660007535 -54683.32305514556))"
12,0,166.23631481294416,-45.50411534964405,166.11984666655349,-45.61092489053091,18.303270692371342,9.930824910018375,14.641524701909068,5.301413,"POLYGON Z ((1083636.942243013 4931082.740030603 -14641.52470190907, 1071635.646288069 4938749.434420791 -9930.824910018375, 1063560.405709123 4926108.608118996 -9930.824910018375, 1075561.701664068 4918441.913728809 -14641.52470190907, 1083636.942243013 4931082.740030603 -14641.52470190907))"
12,1,166.39972414660764,-45.5664809040149,166.28366618463514,-45.67360736204387,22.71479335746557,13.650623108761629,19.44278644096271,5.311228,"POLYGON Z ((1096644.855220066 4925459.36687375 -19442.78644096271, 1084971.774534183 4932888.366216459 -13650.62310876163, 1076918.121111662 4920233.775486218 -13650.62310876163, 1088591.201797545 4912804.776143509 -19442.78644096271, 1096644.855220066 4925459.36687375 -19442.78644096271))"
12,2,166.53534273818525,-45.62597640889943,166.4402993159079,-45.74292016831226,30.206812865066862,19.317748671915478,26.86458934193502,5.324072,"POLYGON Z ((1107837.104179895 4921666.478246297 -26864.58934193502, 1096088.285946866 4927144.659151359 -19317.74867191548, 1089749.376056388 4913549.872599141 -19317.74867191548, 1101498.194289417 4908071.691694078 -26864.58934193502, 1107837.104179895 4921666.478246297 -26864.58934193502))"
12,3,166.67309333132954,-45.678808529066984,166.58090673101324,-45.79692434183778,46.13833584761455,27.741116901513983,38.55634034665808,5.333600,"POLYGON Z ((1116779.041408235 4917894.684488976 -38556.34034665809, 1107290.043961379 4922136.131091864 -27741.11690151398, 1101168.919900007 4908441.904562946 -27741.11690151398, 1110657.917346864 4904200.457960059 -38556.34034665809, 1116779.041408235 4917894.684488976 -38556.34034665809))"
12,4,166.7805554807781,-45.72180961173205,166.69861182570767,-45.84360834027334,52.89088053872497,38.83911406678774,50.801432707031196,5.342340,"POLYGON Z ((1124495.544032062 4914816.808614865 -50801.4327070312, 1116030.409136862 4918017.499783247 -38839.11406678773, 1110725.410165621 4903986.926526422 -38839.11406678773, 1119190.54506082 4900786.23535804 -50801.4327070312, 1124495.544032062 4914816.808614865 -50801.4327070312))"
13,0,166.1013233448848,-45.6056725117484,165.9843783813652,-45.71231527433296,16.99866924835396,9.310694975412302,13.695937378088837,5.355591,"POLYGON Z ((1074154.441623278 4918844.893284657 -13695.93737808884, 1062065.88402779 4926567.35560767 -9310.694975412302, 1053990.626176255 4913926.540340005 -9310.694975412302, 1066079.183771742 4906204.078016993 -13695.93737808884, 1074154.441623278 4918844.893284657 -13695.93737808884))"
13,1,166.26437867854395,-45.668231230048384,166.14862610378137,-45.7756089084931,19.77415403374166,12.868699270273163,17.94340112685727,5.365244,"POLYGON Z ((1087312.756566276 4913186.585720903 -17943.40112685727, 1075365.697675673 4920704.243928832 -12868.69927027316, 1067376.972096757 4908008.564993667 -12868.69927027316, 1079324.030987361 4900490.906785739 -17943.40112685727, 1087312.756566276 4913186.585720903 -17943.40112685727))"
13,2,166.40516682004224,-45.73036751983713,166.3113245334354,-45.84783573402062,29.732203622724043,17.763239514352854,25.202441702180344,5.378404,"POLYGON Z ((1098760.67618385 4909331.805895742 -25202.44170218035, 1086901.465220123 4914718.584722318 -17763.23951435286, 1080698.020945541 4901061.451819247 -17763.23951435286, 1092557.231909267 4895674.672992671 -25202.44170218035, 1098760.67618385 4909331.805895742 -25202.44170218035))"
13,3,166.53803224905118,-45.78534912585642,166.45838418790035,-45.90788592580136,40.654451496724114,25.719261978568653,35.49169451996279,5.389273,"POLYGON Z ((1108443.175114912 4905611.684969366 -35491.6945199628, 1097733.153159087 4909458.110833678 -25719.26197856865, 1092663.077091408 4895340.94650553 -25719.26197856865, 1103373.099047232 4891494.520641217 -35491.6945199628, 1108443.175114912 4905611.684969366 -35491.6945199628))"
13,4,166.64483527885653,-45.83120652423834,166.5841227350603,-45.95895786014704,47.58453234091476,36.39282752538123,47.46692669511188,5.398968,"POLYGON Z ((1116267.399555422 4902625.327013815 -47466.92669511188, 1106440.371068365 4905032.366418052 -36392.82752538123, 1102871.752425147 4890463.050683286 -36392.82752538123, 1112698.780912203 4888056.011279049 -47466.92669511188, 1116267.399555422 4902625.327013815 -47466.92669511188))"
13,5,166.7398887344526,-45.873939299342396,166.70646964347284,-46.006519307144366,55.697469137210696,47.81016623143568,60.201267256635646,5.408280,"POLYGON Z ((1122610.368195303 4900067.142212258 -60201.26725663565, 1114195.20960475 4900870.710055769 -47810.16623143568, 1112769.337960848 4885938.634176807 -47810.16623143568, 1121184.496551401 4885135.066333295 -60201.26725663565, 1122610.368195303 4900067.142212258 -60201.26725663565))"
14,0,165.95909248712167,-45.70373709097863,165.8397518696674,-45.80915671435367,16.19351472319996,8.937380322579623,13.120616459895755,5.409070,"POLYGON Z ((1063979.110509862 4906798.174221841 -13120.61645989575, 1051938.719807255 4914705.735612562 -8937.380322579622, 1043704.466545876 4902167.9099148 -8937.380322579622, 1055744.857248483 4894260.348524079 -13120.61645989575, 1063979.110509862 4906798.174221841 -13120.61645989575))"
14,1,166.12060944218538,-45.76658283711595,166.00441961162602,-45.87381239719231,17.72252950406552,12.43740441651498,17.003518975516343,5.418759,"POLYGON Z ((1077208.290365893 4901217.69214526 -17003.51897551634, 1065112.601694757 4908823.276501838 -12437.40441651498, 1057128.087107454 4896124.948784964 -12437.40441651498, 1069223.77577859 4888519.364428386 -17003.51897551634, 1077208.290365893 4901217.69214526 -17003.51897551634))"
14,2,166.26875470352118,-45.82989014215593,166.16988659014848,-45.945374315520624,24.688629467592644,16.54071083738587,22.80601237528086,5.431211,"POLYGON Z ((1089474.807078532 4896802.649211146 -22806.01237528086, 1077224.647768667 4902775.888995565 -16540.71083738587, 1070650.469492192 4889293.300965475 -16540.71083738587, 1082900.628802057 4883320.061181055 -22806.01237528086, 1089474.807078532 4896802.649211146 -22806.01237528086))"
14,3,166.40621212458927,-45.89038395790779,166.32963609284505,-46.013898308054934,33.5764484848319,22.899206034976118,31.194942969824652,5.443852,"POLYGON Z ((1100299.953085167 4892962.619641089 -31194.94296982465, 1088456.080662342 4896950.530715778 -22899.20603497612, 1083669.526534972 4882734.733179736 -22899.20603497612, 1095513.398957797 4878746.822105046 -31194.94296982465, 1100299.953085167 4892962.619641089 -31194.94296982465))"
14,4,166.53230390966075,-45.94609389403582,166.47919369908496,-46.07549267906725,40.13473871086493,31.2901279619441,40.95893726576428,5.455611,"POLYGON Z ((1109987.321115588 4889323.462088828 -40958.93726576427, 1098740.791702535 4891566.161981301 -31290.1279619441, 1095807.358396322 4876855.792542093 -31290.1279619441, 1107053.887809375 4874613.09264962 -40958.93726576427, 1109987.321115588 4889323.462088828 -40958.93726576427))"
14,5,166.63072232293354,-45.99438373393099,166.61036303892894,-46.12823605169306,45.752821721410584,42.1452039345267,52.89024854808049,5.466459,"POLYGON Z ((1117260.822483801 4886555.389677311 -52890.24854808049, 1106797.805843028 4886818.636762072 -42145.2039345267, 1106420.528695642 4871823.382114216 -42145.2039345267, 1116883.545336415 4871560.135029455 -52890.24854808049, 1117260.822483801 4886555.389677311 -52890.24854808049))"
14,6,166.73753632564149,-46.036957229168266,166.73428226835844,-46.17155277139828,54.72993821509095,53.25849542430819,65.50508674027054,5.474494,"POLYGON Z ((1124085.856017858 4883285.540745179 -65505.08674027055, 1115441.095916776 4882747.83828607 -53258.49542430819, 1116372.293529691 4867776.770488291 -53258.49542430819, 1125017.053630773 4868314.4729474 -65505.08674027055, 1124085.856017858 4883285.540745179 -65505.08674027055))"
15,0,165.79927775999735,-45.79563901529666,165.6790608967125,-45.900651279141734,15.164967233868891,7.710133263773669,11.634119505261335,5.462079,"POLYGON Z ((1052505.892542056 4895407.847291455 -11634.11950526133, 1040424.455361752 4903385.391251534 -7710.133263773669, 1032159.083259947 4890868.058308024 -7710.133263773669, 1044240.520440251 4882890.514347944 -11634.11950526133, 1052505.892542056 4895407.847291455 -11634.11950526133))"
15,1,165.96083472239343,-45.858463289605595,165.84327147313374,-45.96503452217078,15.726366800490226,11.18714383740172,15.252795377369745,5.471319,"POLYGON Z ((1065774.428353339 4889776.157667122 -15252.79537736974, 1053595.277936809 4897531.076924412 -11187.14383740172, 1045538.780768103 4884878.296464345 -11187.14383740172, 1057717.931184633 4877123.377207056 -15252.79537736974, 1065774.428353339 4889776.157667122 -15252.79537736974))"
15,2,166.10897088982242,-45.92212965323338,166.0091612569985,-46.037262377129885,19.020659727521675,15.297265838068764,20.185901867460327,5.483549,"POLYGON Z ((1078435.984329035 4885218.288889869 -20185.90186746033, 1065705.957236975 4891467.100617514 -15297.26583806876, 1059096.263646665 4878001.888007154 -15297.26583806876, 1071826.290738726 4871753.076279509 -20185.90186746033, 1078435.984329035 4885218.288889869 -20185.90186746033))"
15,3,166.25816916282145,-45.983780502446216,166.1710764208169,-46.1038844740221,26.271911621215086,20.267981297367488,26.907456030141937,5.495011,"POLYGON Z ((1090334.227416533 4880596.137375259 -26907.45603014194, 1077853.996948751 4885612.233740352 -20267.98129736749, 1072260.06741821 4871694.333309348 -20267.98129736749, 1084740.297885991 4866678.236944254 -26907.45603014194, 1090334.227416533 4880596.137375259 -26907.45603014194))"
15,4,166.38907999712222,-46.04232313301125,166.32557291644838,-46.169432458973546,32.42345258472251,27.770895038459788,35.8134803553405,5.507375,"POLYGON Z ((1100799.14546721 4876821.075113745 -35813.4803553405, 1088533.462039286 4879962.703905731 -27770.89503845979, 1084811.63162367 4865431.772127025 -27770.89503845979, 1097077.315051594 4862290.14333504 -35813.4803553405, 1100799.14546721 4876821.075113745 -35813.4803553405))"
15,5,166.5129582371898,-46.1010693182197,166.47997172798208,-46.23368739399401,35.481420770833786,36.045682708148775,44.752266702950976,5.520344,"POLYGON Z ((1110816.466246857 4873142.482852932 -44752.26670295098, 1098650.336150348 4874229.070914838 -36045.68270814877, 1097315.959361914 4859288.540851066 -36045.68270814877, 1109482.089458423 4858201.952789159 -44752.26670295098, 1110816.466246857 4873142.482852932 -44752.26670295098))"
15,6,166.63483676042685,-46.15423207718014,166.62526542650787,-46.28866834769302,42.790662209172,45.34584089980238,55.53566663186961,5.531225,"POLYGON Z ((1119545.297440952 4869429.793455882 -55535.66663186961, 1108542.995911632 4869088.014860841 -45345.84089980238, 1109008.735475746 4854095.247049045 -45345.84089980238, 1120011.037005065 4854437.025644086 -55535.66663186961, 1119545.297440952 4869429.793455882 -55535.66663186961))"
15,7,166.756084891569,-46.20027250987518,166.75975433293326,-46.33486417284984,52.4435328376277,55.484618575932146,67.3759135405373,5.539737,"POLYGON Z ((1127406.217931855 4865612.126176739 -67375.91354053729, 1118306.743556659 4864719.562363945 -55484.61857593215, 1119771.059927638 4849791.20754616 -55484.61857593215, 1128870.534302834 4850683.771358954 -67375.91354053729, 1127406.217931855 4865612.126176739 -67375.91354053729))"
16,0,165.62253932408768,-45.882273168397056,165.50472851679126,-45.9886767014183,13.58005584627946,6.7922598376042265,10.314316355237443,5.515126,"POLYGON Z ((1039906.584278478 4884705.889969807 -10314.31635523744, 1027586.109266543 4892503.390426164 -6792.259837604226, 1019564.342616066 4879828.562624363 -6792.259837604226, 1031884.817628001 4872031.062168007 -10314.31635523744, 1039906.584278478 4884705.889969807 -10314.31635523744))"
16,1,165.7848562330649,-45.94556392350639,165.66943167897702,-46.0533324446814,14.612534696981243,10.095632992077883,13.879848886401838,5.523989,"POLYGON Z ((1053193.942403931 4879048.251013527 -13879.84888640184, 1040817.18784776 4886630.840064863 -10095.63299207788, 1032981.133805493 4873840.364817763 -10095.63299207788, 1045357.888361664 4866257.775766427 -13879.84888640184, 1053193.942403931 4879048.251013527 -13879.84888640184))"
16,2,165.9369832313109,-46.00932408313821,165.83524896823027,-46.123675653202106,16.2325563518321,13.978936180812994,18.17198690219032,5.535211,"POLYGON Z ((1066109.956316403 4874153.717822441 -18171.98690219032, 1053236.025173652 4880609.740017232 -13978.93618081299, 1046511.947652562 4867201.280691479 -13978.93618081299, 1059385.878795314 4860745.258496688 -18171.98690219032, 1066109.956316403 4874153.717822441 -18171.98690219032))"
16,3,166.09091390964036,-46.0730275805987,166.00168943874306,-46.192396372620976,21.32394070957852,17.913641095876663,23.36824860387898,5.546630,"POLYGON Z ((1078682.721289046 4869251.705282077 -23368.24860387898, 1065767.129411886 4874584.129064587 -17913.64109587666, 1060042.815454219 4860719.345268434 -17913.64109587666, 1072958.40733138 4855386.921485924 -23368.24860387898, 1078682.721289046 4869251.705282077 -23368.24860387898))"
