164,39,0.37,0.13829,0.73503
165,39,0.37,0.12289,0.70026
166,39,0.37,0.12993,0.71258
167,40,0.915,0.32475,1.7543
168,40,0.495,0.26839,1.757
169,40,0.735,0.37662,1.7608
170,41,0.17,0.047749,0.80558
171,41,0.17,0.047749,0.80558
172,42,0.67,0.19631,1.1154
173,42,0.23,0.077289,0.93007
174,42,0.35,0.14823,1.0194
175,43,0.41,0.13562,0.74536
176,43,0.39667,0.13126,0.72195
177,43,0.4,0.13142,0.72672
178,44,0.45,0.15664,0.7471
179,44,0.39,0.13754,0.73464
180,45,0.43,0.17034,0.91558
181,45,0.4,0.1518,0.87788
182,45,0.33,0.11376,0.83832
183,45,0.37,0.12389,0.87142
184,46,0.405,0.16136,1.1078
185,46,0.435,0.1652,1.0951
186,46,0.51,0.18329,1.0973
187,47,0.495,0.17997,1.4267
188,47,0.495,0.17997,1.4267
189,48,8.3,7.1,9.5
190,48,5.15,4.3064,8.0264
191,48,5.15,4.3064,8.0264
192,48,5.45,4.4177,8.1375
193,48,6.4,4.6016,8.2824
194,48,7.35,4.7854,8.4274
195,48,5.65,4.8922,8.4967
196,48,6.35,4.6569,8.4579
197,48,5.325,3.9742,8.5249
198,48,4.3,3.2914,8.5918
199,48,4.1,3.2577,8.4719
200,48,4.1,3.2577,8.4719
201,49,2.425,1.6043,4.2438
202,49,2.425,1.6043,4.2438
203,49,2.525,1.6447,4.1824
204,49,2.625,1.6852,4.121
205,50,0.46333,0.13216,0.80444
206,50,0.43,0.11272,0.8054
207,50,0.39,0.09573,0.7847
208,50,0.35,0.099815,0.74692
209,50,0.33,0.0706,0.75479
210,51,0.495,0.3996,1.7262
211,51,0.495,0.3996,1.7262
212,51,0.525,0.31976,1.5842
213,51,0.555,0.23993,1.4422
214,51,0.315,0.1299,1.2654
215,51,0.075,0.019861,1.0886
216,52,2.3,1.7,2.9
217,52,2.3,1.7,2.9
218,53,2.975,2.0484,3.825
219,53,2.6,1.6762,3.7092
220,53,2.225,1.3041,3.5933
221,54,0.33,0.11255,0.69219
222,54,0.35667,0.114,0.68672
223,54,0.37,0.11472,0.68398
224,55,0.435,0.14865,1.1952
225,55,0.435,0.14865,1.1952
226,56,0.435,0.13273,1.0775
227,56,0.435,0.13273,1.0775
228,57,0.405,0.13509,1.153
229,57,0.445,0.13866,1.1081
230,57,0.495,0.1539,1.127
231,57,0.495,0.16345,1.159
232,57,0.405,0.15172,1.131
233,58,0.85,0.46377,3.0789
234,58,0.78333,0.41244,3.035
235,58,0.7,0.34837,2.8383
236,58,0.5375,0.25036,2.3511
237,58,0.55,0.2346,2.1878
238,58,0.675,0.27844,2.3368
239,58,1.05,0.42452,3.0459
240,58,1.35,0.44944,3.1332
241,58,2.55,0.47432,4.3705
242,59,0.495,0.15619,1.4649
243,59,0.63,0.21421,1.4678
244,59,0.5475,0.19138,1.4219
245,59,0.555,0.1737,1.4127
246,59,0.795,0.21555,1.6078
247,59,1.175,0.52513,2.9345
248,59,1.3917,0.51633,2.9857
249,59,1.7875,0.55049,3.4918
250,59,1.7,0.55742,3.7249
251,59,1.55,0.54355,3.6059
252,60,0.405,0.14209,1.195
253,60,0.4275,0.16461,1.4254
254,60,0.395,0.1588,1.5261
255,60,0.535,0.2091,1.4001
256,60,0.53167,0.20471,1.6256
257,60,0.425,0.23038,1.8249
258,61,0.37,0.12389,0.7252
259,61,0.295,0.073638,0.63332
260,62,1.3583,0.59158,2.9167
261,62,2.175,1.3686,2.9609
262,62,2.475,1.5339,3.3771
263,62,2.275,1.2614,3.0853
264,62,2.075,0.98884,2.7936
265,62,1.975,1.3063,2.9245
266,62,2,1.2543,2.9445
267,62,1.6917,0.90143,2.7102
268,62,0.775,0.28333,2.5193
269,63,0.7,0.3,1.1
270,63,0.7,0.3,1.1
271,63,0.7,0.3,1.1
272,63,0.7,0.3,1.1
273,63,0.7,0.3,1.1
274,63,0.7,0.3,1.1
275,63,0.7,0.3,1.1
276,63,0.7,0.3,1.1
277,63,0.7,0.3,1.1
278,64,0.7,0.3,1.1
279,64,0.7,0.3,1.1
280,64,0.7,0.3,1.1
281,64,0.7,0.3,1.1
282,64,0.7,0.3,1.1
283,64,0.7,0.3,1.1
284,64,0.7,0.3,1.1
285,64,0.7,0.3,1.1
286,64,0.7,0.3,1.1
287,64,0.7,0.3,1.1
288,64,0.7,0.3,1.1
289,64,0.7,0.3,1.1
290,64,0.7,0.3,1.1
291,64,0.7,0.3,1.1
292,64,0.7,0.3,1.1
293,64,0.7,0.3,1.1
294,64,0.7,0.3,1.1
295,64,0.7,0.3,1.1
296,64,0.7,0.3,1.1
297,64,0.7,0.3,1.1
298,64,0.7,0.3,1.1
299,64,0.7,0.3,1.1
300,64,0.7,0.3,1.1
301,64,0.7,0.3,1.1
302,64,0.7,0.3,1.1
303,64,0.7,0.3,1.1
304,64,0.7,0.3,1.1
305,64,0.7,0.3,1.1
306,65,0.8,0.3,1.3
307,65,0.8,0.3,1.3
308,65,0.8,0.3,1.3
309,65,0.8,0.3,1.3
310,65,0.8,0.3,1.3
311,65,0.8,0.3,1.3
312,65,0.8,0.3,1.3
313,65,0.8,0.3,1.3
314,65,0.8,0.3,1.3
315,65,0.8,0.3,1.3
316,65,0.8,0.3,1.3
317,66,0.7,0.3,1.1
318,66,0.7,0.3,1.1
319,66,0.7,0.3,1.1
320,66,0.7,0.3,1.1
321,66,0.7,0.3,1.1
322,66,0.7,0.3,1.1
323,66,0.7,0.3,1.1
324,66,0.7,0.3,1.1
325,66,0.7,0.3,1.1
326,66,0.7,0.3,1.1
327,67,0.7,0.3,1.1
328,67,0.7,0.3,1.1
329,67,0.7,0.3,1.1
330,67,0.7,0.3,1.1
331,67,0.7,0.3,1.1
332,67,0.7,0.3,1.1
333,67,0.7,0.3,1.1
334,67,0.7,0.3,1.1
335,67,0.7,0.3,1.1
336,67,0.7,0.3,1.1
337,67,0.7,0.3,1.1
338,67,0.7,0.3,1.1
339,67,0.7,0.3,1.1
340,67,0.7,0.3,1.1
341,67,0.7,0.3,1.1
342,67,0.7,0.3,1.1
343,67,0.7,0.3,1.1
344,67,0.7,0.3,1.1
345,68,0.5,0.1,0.9
346,68,0.5,0.1,0.9
347,68,0.5,0.1,0.9
348,68,0.5,0.1,0.9
349,68,0.5,0.1,0.9
350,68,0.5,0.1,0.9
351,68,0.5,0.1,0.9
352,68,0.5,0.1,0.9
353,68,0.5,0.1,0.9
354,68,0.5,0.1,0.9
355,68,0.5,0.1,0.9
356,68,0.5,0.1,0.9
357,68,0.5,0.1,0.9
358,68,0.5,0.1,0.9
359,68,0.5,0.1,0.9
360,68,0.5,0.1,0.9
361,69,0.8,0.3,1.3
362,69,0.8,0.3,1.3
363,69,0.8,0.3,1.3
364,69,0.8,0.3,1.3
365,69,0.8,0.3,1.3
366,69,0.8,0.3,1.3
367,69,0.8,0.3,1.3
368,69,0.8,0.3,1.3
369,69,0.8,0.3,1.3
370,69,0.8,0.3,1.3
371,69,0.8,0.3,1.3
372,69,0.8,0.3,1.3
373,69,0.8,0.3,1.3
374,69,0.8,0.3,1.3
375,69,0.8,0.3,1.3
376,69,0.8,0.3,1.3
377,69,0.8,0.3,1.3
378,69,0.8,0.3,1.3
379,70,0.7,0.3,1.1
380,70,0.7,0.3,1.1
381,70,0.7,0.3,1.1
382,70,0.7,0.3,1.1
383,70,0.7,0.3,1.1
384,70,0.7,0.3,1.1
