%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
184,36,1.8,0.9,2.7
185,37,0.5,0.4,1
186,37,1.3,0.7,2.7
187,37,2.6,1.2,4
188,37,1.26,1.06,1.38
189,37,1.7,1.48,1.92
190,37,0.51,0.44,0.58
191,37,0.25,0.21,0.28
192,37,0.3,0.2,0.7
193,37,2.2,2,2.5
194,38,0.09,0.08,0.1
195,38,0.09,0.08,0.11
196,38,0.23,0.2,0.26
197,38,0.68,0.28,1.09
198,38,0.4,0.35,0.46
199,38,0.6,0.5,0.8
200,38,0.2,0.15,0.27
201,38,0.43,0.37,0.48
202,38,0.7,0.5,0.9
203,38,0.5,0.4,0.6
204,38,1.7,1.4,2
205,38,0.55,0.4,0.7
206,38,2.3,1.1,2.4
207,39,1.85,1.6667,6.181
208,39,3.3,1.8144,6.1742
209,39,4.75,1.962,6.1674
210,39,5.05,2.0633,6.2382
211,39,5.75,3.2283,6.594
212,39,5.05,2.5077,6.3083
213,39,5.05,2.5077,6.3083
214,39,4.55,1.9084,6.4136
215,40,3.05,0.97609,4.0071
216,40,2.85,1.0197,4.3824
217,41,3.45,2.9512,5.9366
218,41,4.275,3.7305,6.1803
219,41,5.175,4.3465,6.2882
220,41,5.4883,4.8085,6.2947
221,41,5.57,4.8515,6.3144
222,41,5.45,4.6994,6.2519
223,41,5.625,4.8968,6.3667
224,41,5.525,4.5757,6.2643
225,41,5.125,4.4017,6.3001
226,42,1.8,1.3,2.3
227,42,0.6,0.3,0.9
228,42,0.18,0.15,0.33
229,42,0.17,0.14,0.31
230,42,0.14,0.11,0.17
231,42,0.21,0.18,0.24
232,43,0.5,0.4,0.6
233,43,0.7,0.5,1
234,43,0.2,0.1,0.5
235,43,0,0,0
236,43,0.48,0.38,0.59
237,43,2.9,2.1,3.8
238,43,0,0,0
239,44,0.35,0.1134,0.69822
240,44,0.35,0.12849,0.72134
241,45,0.225,0.07351,1.194
242,45,0.225,0.07351,1.194
243,46,0.915,0.40454,1.6761
244,46,0.735,0.30102,1.3993
245,47,0.68,0.49,0.87
246,47,0.2,0.1,0.5
247,47,0.63,0.3,0.7
248,47,0.2,0.18,1.53
249,48,0.38,0.13723,0.73003
250,48,0.36333,0.12913,0.74267
251,48,0.42,0.13913,0.74599
252,48,0.39,0.10257,0.67612
253,48,0.47,0.19279,0.81659
254,49,0.37,0.1092,0.69019
255,49,0.4,0.12058,0.71191
256,50,0.37,0.13829,0.73503
257,50,0.37,0.12289,0.70026
258,50,0.37,0.12993,0.71258
259,51,0.915,0.32475,1.7543
260,51,0.495,0.26839,1.757
261,51,0.735,0.37662,1.7608
262,52,0.7,0.5,0.9
263,52,0.7,0.5,0.9
264,52,1.1,0.7,1.5
265,52,1.1,0.7,1.5
266,52,1.1,0.7,1.5
267,52,2.2,1.3,3.1
268,53,0.17,0.047749,0.80558
269,53,0.17,0.047749,0.80558
270,54,0.67,0.19631,1.1154
271,54,0.34,0.10704,0.9764
272,54,0.265,0.097979,0.95613
273,54,0.37,0.16005,1.0343
274,55,0.4,0.13142,0.72672
275,55,0.39667,0.13126,0.72195
276,55,0.41,0.13562,0.74536
277,56,0.39,0.096343,0.89909
278,56,0.405,0.16794,1.5069
279,57,0.45,0.15664,0.7471
280,57,0.39,0.13754,0.73464
281,58,0.43,0.17034,0.91558
282,58,0.4,0.1518,0.87788
283,58,0.33,0.11376,0.83832
284,58,0.37,0.12389,0.87142
285,59,0.41625,0.1628,1.1031
286,59,0.498,0.18006,1.0956
287,60,0.495,0.17997,1.4267
288,60,0.495,0.17997,1.4267
289,61,4.85,3.879,7.9465
290,61,5.15,4.3064,8.0264
291,61,5.45,4.4177,8.1375
292,61,6.4,4.6016,8.2824
293,61,7.35,4.7854,8.4274
294,61,5.65,4.8922,8.4967
295,61,6.35,4.6569,8.4579
296,61,5.325,3.9742,8.5249
297,61,4.1,3.2577,8.4719
298,61,4.1,3.2577,8.4719
299,62,2.425,1.6043,4.2438
300,62,2.425,1.6043,4.2438
301,62,2.525,1.6447,4.1824
302,62,2.625,1.6852,4.121
303,63,0.46333,0.13216,0.80444
304,63,0.43,0.11272,0.8054
305,63,0.39,0.09573,0.7847
306,63,0.35,0.099815,0.74692
307,63,0.33,0.0706,0.75479
308,64,0.495,0.3996,1.7262
309,64,0.525,0.31976,1.5842
310,64,0.395,0.16657,1.3243
311,64,0.075,0.019861,1.0886
312,65,0.65,0.22434,1.1023
313,65,0.65,0.22434,1.1023
314,65,0.07,0.029649,0.91715
315,65,0.07,0.029649,0.91715
316,66,0.5,0.25,0.75
317,66,1.5,1,3
318,67,2.975,2.0484,3.825
319,67,2.6,1.6762,3.7092
320,67,2.225,1.3041,3.5933
321,68,0.37,0.11472,0.68398
322,68,0.35667,0.114,0.68672
323,68,0.33,0.11255,0.69219
324,69,0.435,0.14865,1.1952
325,69,0.435,0.14865,1.1952
326,70,0.435,0.13273,1.0775
327,70,0.435,0.13273,1.0775
328,71,0.405,0.13509,1.153
329,71,0.445,0.13866,1.1081
330,71,0.495,0.1539,1.127
331,71,0.495,0.16345,1.159
332,71,0.405,0.15172,1.131
333,72,0.85,0.46377,3.0789
334,72,0.78333,0.41244,3.035
335,72,0.7,0.34837,2.8383
336,72,0.5375,0.25036,2.3511
337,72,0.55,0.2346,2.1878
338,72,0.8625,0.35148,2.6914
339,72,1.25,0.44113,3.1041
340,72,1.95,0.46188,3.7518
341,73,0.495,0.15619,1.4649
342,73,0.63,0.21421,1.4678
343,73,0.5475,0.19138,1.4219
344,73,0.555,0.1737,1.4127
345,73,0.795,0.21555,1.6078
346,73,1.175,0.52513,2.9345
347,73,1.3917,0.51633,2.9857
348,73,1.7875,0.55049,3.4918
349,73,1.7,0.55742,3.7249
350,73,1.55,0.54355,3.6059
351,74,0.405,0.14209,1.195
352,74,0.4275,0.16461,1.4254
353,74,0.395,0.1588,1.5261
354,74,0.535,0.2091,1.4001
355,74,0.53167,0.20471,1.6256
356,74,0.425,0.23038,1.8249
357,75,0.37,0.12389,0.7252
358,75,0.295,0.073638,0.63332
359,76,1.3583,0.59158,2.9167
360,76,2.175,1.3686,2.9609
361,76,2.275,1.2614,3.0853
362,76,2.075,0.98884,2.7936
363,76,1.975,1.3063,2.9245
364,76,2,1.2543,2.9445
365,76,1.6917,0.90143,2.7102
366,76,0.775,0.28333,2.5193
367,77,0.05,0.02,0.1
368,77,0,0,0
369,77,0.4,0.2,0.6
370,78,0.3,0.05,0.5
371,78,1,0.5,1.5
372,78,0,0,0
373,78,1.5,1,2
374,78,2.5,1.5,3.5
375,78,0.2,0.05,0.5
376,78,1,0.7,1.3
377,78,0.2,0.1,0.3
378,78,1,0.5,1.5
379,78,2,1,3
380,79,1,0.5,1.5
381,79,1,0.5,1.5
382,79,2,1,3
383,80,1,0.5,1.5
384,80,1,0.5,1.5
385,80,1.5,1,2
386,80,3,2,4
387,81,2.5,1.5,3.5
388,81,0.5,0.25,0.75
389,81,0,0,0
390,81,4,3,5
391,81,0.5,0.3,0.7
392,81,1,0.5,1.5
393,81,0.5,0.25,0.75
394,82,0.25,0.1,0.4
395,82,0.5,0.25,0.75
396,82,2.4,1.5,3
397,82,1.5,0.5,2.5
398,82,1.5,0.5,2
399,82,4,3,5
400,83,1,0.5,1.5
401,83,1,0.5,1.5
402,83,0.1,0.05,0.2
403,83,0.25,0.1,0.4
