along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
0,0,173.2124573593242,-43.189470120251514,173.31218883674296,-43.24227043019415,4.628132768047424,20.56008513769268,21.366968562399453,-1000.0,"POLYGON Z ((1619475.997636694 5204177.905018413 -21366.96856239945, 1625345.802066098 5212233.607042413 -20560.08513769268, 1617263.747532416 5218122.613284097 -20560.08513769268, 1611393.943103012 5210066.911260096 -21366.96856239945, 1619475.997636694 5204177.905018413 -21366.96856239945))"
0,1,173.124351397649,-43.14652534811841,173.20427601129006,-43.21499114065036,3.3993597355637606,20.68986541619206,21.28281760138404,-1000.0,"POLYGON Z ((1608989.434729136 5208821.028735663 -21282.81760138404, 1616592.034292807 5215290.10035225 -20689.86541619206, 1610111.560221134 5222906.100339538 -20689.86541619206, 1602508.960657462 5216437.028722951 -21282.81760138404, 1608989.434729136 5208821.028735663 -21282.81760138404))"
0,2,173.07885007640482,-43.12978981125192,173.0605242456627,-43.21883344595832,5.26170302115009,21.008262289333047,21.92531245068272,-1000.0,"POLYGON Z ((1595070.143295397 5216373.274338917 -21925.31245068272, 1604915.688233809 5214881.877722559 -21008.26228933305, 1606413.395865086 5224769.085207547 -21008.26228933305, 1596567.850926675 5226260.481823905 -21925.31245068272, 1595070.143295397 5216373.274338917 -21925.31245068272))"
0,3,172.9825293581026,-43.103488685831124,172.93048794693954,-43.185076541502724,8.729883602527984,21.8958570129469,23.413620669891934,-1000.0,"POLYGON Z ((1585393.59495384 5222808.284884881 -23413.62066989193, 1594351.222056425 5218630.090278034 -21895.8570129469, 1598578.388985342 5227692.709091328 -21895.8570129469, 1589620.761882757 5231870.903698175 -23413.62066989193, 1585393.59495384 5222808.284884881 -23413.62066989193))"
0,4,172.87826695369623,-43.06855468216706,172.81329485115856,-43.14499134922006,11.925114444438382,23.31484820477439,25.381178956451965,-1000.0,"POLYGON Z ((1576503.154441235 5228224.261970279 -25381.17895645196, 1584817.80083093 5223067.040563455 -23314.84820477439, 1590088.777797241 5231565.087504995 -23314.84820477439, 1581774.131407546 5236722.308911819 -25381.17895645196, 1576503.154441235 5228224.261970279 -25381.17895645196))"
0,5,172.77420682069575,-43.03121303256091,172.70222549427518,-43.1041766658999,14.56886983452548,25.5920202544221,28.10745567000347,-1000.0,"POLYGON Z ((1567910.172220599 5233221.158778788 -28107.45567000347, 1575769.928275253 5227573.431852726 -25592.0202544221, 1581605.285372964 5235694.30665426 -25592.0202544221, 1573745.52931831 5241342.033580322 -28107.45567000347, 1567910.172220599 5233221.158778788 -28107.45567000347))"
0,6,172.66975184375175,-42.992820105701554,172.5925898670337,-43.06284998405348,16.43264066135853,27.8979995999747,30.726878797052862,-1000.0,"POLYGON Z ((1559340.941305712 5238122.213739199 -30726.87879705286, 1566826.518569791 5232125.249881392 -27897.9995999747, 1573078.872499773 5239929.612144527 -27897.9995999747, 1565593.295235693 5245926.576002333 -30726.87879705286, 1559340.941305712 5238122.213739199 -30726.87879705286))"
0,7,172.5664811432035,-42.955393867523775,172.48358732761113,-43.02176867042082,17.132752587489247,30.627792666510473,33.57365913798941,-1000.0,"POLYGON Z ((1550842.642011496 5243056.559832171 -33573.65913798941, 1557922.87650791 5236638.448723129 -30627.79266651047, 1564639.017914498 5244047.459764201 -30627.79266651047, 1557558.783418084 5250465.570873243 -33573.65913798941, 1550842.642011496 5243056.559832171 -33573.65913798941))"
0,8,172.46473425677524,-42.920176355126685,172.3743332777297,-42.98099535573844,17.0933148473763,33.873805917390406,36.813093950250945,-1000.0,"POLYGON Z ((1542483.01165268 5248109.795977872 -36813.09395025094, 1548987.149241148 5241105.741431385 -33873.8059173904, 1556314.889751377 5247910.461779404 -33873.8059173904, 1549810.752162908 5254914.516325891 -36813.09395025094, 1542483.01165268 5248109.795977872 -36813.09395025094))"
0,9,172.35906673135742,-42.88532964419079,172.25981320866936,-42.93811355840287,17.087442060157898,36.0259863224633,38.96429462192105,-1000.0,"POLYGON Z ((1533941.641750546 5253489.809247371 -38964.29462192105, 1539607.95698345 5245791.808466733 -36025.98632246329, 1547661.460014228 5251719.800448276 -36025.98632246329, 1541995.144781325 5259417.801228914 -38964.29462192105, 1533941.641750546 5253489.809247371 -38964.29462192105))"
